INFO 2025-10-13 07:02:02,551 autoreload Watching for file changes with StatReloader
INFO 2025-10-13 07:02:11,788 autoreload Watching for file changes with StatReloader
WARNING 2025-10-13 07:02:49,331 base Session data corrupted
INFO 2025-10-13 07:02:49,378 basehttp "GET /intelligent-import/?connection=71f7e302-0211-4310-8446-05fbc003446a HTTP/1.1" 302 0
INFO 2025-10-13 07:02:49,408 basehttp "GET /login/?next=/intelligent-import/%3Fconnection%3D71f7e302-0211-4310-8446-05fbc003446a HTTP/1.1" 200 6952
WARNING 2025-10-13 07:02:49,481 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-10-13 07:02:49,484 basehttp "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 28190
WARNING 2025-10-13 07:02:49,565 log Not Found: /favicon.ico
WARNING 2025-10-13 07:02:49,570 basehttp "GET /favicon.ico HTTP/1.1" 404 28079
INFO 2025-10-13 07:02:59,286 basehttp "POST /login/?next=/intelligent-import/%3Fconnection%3D71f7e302-0211-4310-8446-05fbc003446a HTTP/1.1" 302 0
INFO 2025-10-13 07:02:59,363 basehttp "GET /intelligent-import/?connection=71f7e302-0211-4310-8446-05fbc003446a HTTP/1.1" 200 44878
INFO 2025-10-13 07:02:59,416 basehttp "GET /static/libs/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 30601
INFO 2025-10-13 07:02:59,416 basehttp "GET /static/libs/font-awesome/css/all.min.css HTTP/1.1" 200 74320
INFO 2025-10-13 07:02:59,419 basehttp "GET /static/libs/tom-select/tom-select.bootstrap5.css HTTP/1.1" 200 18194
INFO 2025-10-13 07:02:59,421 basehttp "GET /static/css/intelligent_import.css HTTP/1.1" 200 1715
INFO 2025-10-13 07:02:59,428 basehttp "GET /static/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 232111
INFO 2025-10-13 07:02:59,429 basehttp "GET /static/libs/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 78487
INFO 2025-10-13 07:02:59,429 basehttp "GET /static/libs/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 99556
INFO 2025-10-13 07:02:59,433 basehttp "GET /static/js/toast-notifications.js HTTP/1.1" 200 2161
INFO 2025-10-13 07:02:59,435 basehttp "GET /static/libs/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80496
INFO 2025-10-13 07:02:59,435 basehttp "GET /static/libs/tom-select/tom-select.complete.min.js HTTP/1.1" 200 50720
INFO 2025-10-13 07:02:59,445 basehttp "GET /static/js/intelligent_import_manager.js HTTP/1.1" 200 43072
INFO 2025-10-13 07:02:59,445 basehttp "GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 200 89795
INFO 2025-10-13 07:02:59,457 basehttp "GET /static/libs/font-awesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 113152
WARNING 2025-10-13 07:02:59,466 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-10-13 07:02:59,466 basehttp "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 28190
WARNING 2025-10-13 07:02:59,494 basehttp "GET /static/libs/tom-select/tom-select.bootstrap5.css.map HTTP/1.1" 404 1995
INFO 2025-10-13 07:02:59,498 basehttp "GET /static/libs/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 590038
INFO 2025-10-13 07:02:59,511 basehttp "GET /static/libs/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 332111
WARNING 2025-10-13 07:02:59,523 basehttp "GET /static/libs/tom-select/tom-select.complete.min.js.map HTTP/1.1" 404 1998
INFO 2025-10-13 07:02:59,787 basehttp "GET /static/img/favicon.ico HTTP/1.1" 200 11624
ERROR 2025-10-13 07:03:05,047 log Internal Server Error: /intelligent-import/api/session/01393bbe-cae4-4ffb-bffd-2dbaa9f3fa24/
ERROR 2025-10-13 07:03:05,049 basehttp "GET /intelligent-import/api/session/01393bbe-cae4-4ffb-bffd-2dbaa9f3fa24/ HTTP/1.1" 500 101
INFO 2025-10-13 07:04:51,423 autoreload C:\Users\safat\OneDrive - Bitopi Group\Desktop\django_mis_project\intelligent_import\views.py changed, reloading.
INFO 2025-10-13 07:04:55,061 autoreload Watching for file changes with StatReloader
INFO 2025-10-13 07:05:19,824 basehttp "GET /intelligent-import/?connection=71f7e302-0211-4310-8446-05fbc003446a HTTP/1.1" 200 44878
INFO 2025-10-13 07:05:19,880 basehttp "GET /static/libs/font-awesome/css/all.min.css HTTP/1.1" 200 74320
INFO 2025-10-13 07:05:19,887 basehttp "GET /static/libs/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 30601
INFO 2025-10-13 07:05:19,894 basehttp "GET /static/libs/tom-select/tom-select.bootstrap5.css HTTP/1.1" 200 18194
