Sl_No,Unit_Code,Month,Corp_cost,Factory_Cost,Non-Routine_Cost,Rent_Cost, Dep_Cost ,SRS_Cost,Total_Cost_BDT,Total_Cost_USD,Available_Minutes,Produce_Minutes,Conversion_Rate,CPM,Efficiency
1,U1,2/28/2022,"18,224,986",173444584.5,23441831.52,3101805,"15,215,981", 1 ,"233,429,188","2,715,240",52667280,31589852,85.97,0.086,59.98%
2,U1,3/31/2022,"19,233,501",186599874.9,10043366.43,3101805,"15,338,528", 1 ,"234,317,076","2,717,665",56073000,35868463.8,86.22,0.0758,63.97%
3,U1,4/30/2022,"18,911,554",186488335.1,11607475.49,3101805,"15,299,406", 1 ,"235,408,576","2,715,522",59554200,35821583.15,86.69,0.0758,60.15%
4,U1,5/31/2022,"20,219,748",182653647.3,9277707.36,3101805,"16,225,475", 1 ,"231,478,383","2,598,545",44734980,26940964.66,89.08,0.0965,60.22%
5,U1,6/30/2022,"21,064,753",187395868.4,5687498.12,3101805,"16,800,175", 1 ,"234,050,100","2,504,549",56626140,34703327.52,93.45,0.0722,61.28%
6,U1,7/31/2022,"23,592,395",167882611.5,2201632.82,3101805,"17,125,808", 1 ,"213,904,253","2,254,471",36914820,20714555.48,94.88,0.1088,56.11%
7,U1,8/31/2022,"23,079,776",185764750.4,138578.23,3101805,"17,969,486", 1 ,"230,054,396","2,420,861",58084320,31731492.99,95.03,0.0763,54.63%
8,U1,9/30/2022,"21,026,129",193160346.7,5304572.08,3101805,"17,820,814", 1 ,"240,413,667","2,373,284",55132200,30551315.26,101.3,0.0777,55.41%
9,U1,10/31/2022,"18,567,648",189774155.7,0,3101805,"17,791,568"," 6,675,240 ","235,910,417","2,324,241",59299500,34287657.36,101.5,0.0678,57.82%
10,U1,11/30/2022,"21,444,995",188209465.2,88841.83,3101805,"18,362,161"," 6,675,240 ","237,882,509","2,339,061",57971070,34909099.43,101.7,0.067,60.22%
11,U1,12/31/2022,"20,312,018",186755297.9,0,3101805,"18,502,342"," 6,675,240 ","235,346,703","2,282,703",58792980,33034773.7,103.1,0.0691,56.19%
12,U1,1/31/2023,"21,261,262",171722142.2,879749.38,3101805,"18,334,737"," 16,109,930 ","231,409,626","2,181,052",51162480,29789458.17,106.1,0.0732,58.23%
13,U1,2/28/2023,"20,534,760",165417629.4,93984.27,3101805,"18,420,085"," 7,997,761 ","215,566,024","2,020,300",42312840,25307492.38,106.7,0.0798,59.81%
